model,event_index,year,draw_number,drawing_no,predicted_top6,actual_numbers,matched_numbers,hit_count
frequency_baseline,8310,2012,56,2,4 44 49 25 21 28,4 8 12 17 32 45,4,1
frequency_baseline,8311,2012,57,1,4 44 49 25 21 28,5 11 21 32 38 48,21,1
frequency_baseline,8312,2012,57,2,4 44 49 25 21 28,4 11 17 20 36 48,4,1
frequency_baseline,8313,2012,58,1,4 44 49 25 21 17,1 3 5 8 42 43,,0
frequency_baseline,8314,2012,58,2,4 44 49 25 21 17,6 32 38 42 45 47,,0
frequency_baseline,8315,2012,59,1,4 44 49 25 21 17,2 25 27 34 35 44,25 44,2
frequency_baseline,8316,2012,59,2,4 44 49 25 21 17,9 11 18 21 22 41,21,1
frequency_baseline,8317,2012,60,1,4 44 49 25 21 17,4 5 7 34 40 42,4,1
frequency_baseline,8318,2012,60,2,4 44 49 25 21 17,3 10 18 32 35 38,,0
frequency_baseline,8319,2012,61,1,4 44 49 25 21 17,10 17 21 23 25 47,17 21 25,3
frequency_baseline,8320,2012,61,2,4 44 49 25 21 17,1 5 11 14 33 40,,0
frequency_baseline,8321,2012,62,1,4 44 49 25 21 17,14 17 20 34 35 46,17,1
frequency_baseline,8322,2012,62,2,4 44 49 25 21 17,11 19 23 27 30 47,,0
frequency_baseline,8323,2012,63,1,4 44 49 25 21 17,2 3 14 19 27 28,,0
frequency_baseline,8324,2012,63,2,4 44 49 25 21 17,7 19 20 25 28 42,25,1
frequency_baseline,8325,2012,64,1,4 44 49 25 21 17,1 5 31 33 34 41,,0
frequency_baseline,8326,2012,64,2,4 44 49 25 21 17,14 16 27 29 44 46,44,1
frequency_baseline,8327,2012,65,1,4 44 49 25 21 17,16 20 25 28 40 49,25 49,2
frequency_baseline,8328,2012,65,2,4 44 49 25 21 28,4 8 9 19 39 42,4,1
frequency_baseline,8329,2012,66,1,4 44 49 25 21 28,11 23 34 35 41 47,,0
frequency_baseline,8330,2012,66,2,4 44 49 25 21 28,6 12 13 17 19 44,44,1
frequency_baseline,8331,2012,67,1,4 44 49 25 17 21,14 15 36 47 48 49,49,1
frequency_baseline,8332,2012,67,2,4 44 49 25 17 21,18 25 30 37 41 49,25 49,2
frequency_baseline,8333,2012,68,1,4 44 49 25 17 21,6 16 19 26 29 45,,0
frequency_baseline,8334,2012,68,2,4 44 49 25 17 21,4 19 20 28 40 49,4 49,2
frequency_baseline,8335,2012,69,1,4 49 44 25 28 17,1 8 26 27 30 44,44,1
frequency_baseline,8336,2012,69,2,4 44 49 25 28 17,5 7 11 19 42 46,,0
frequency_baseline,8337,2012,70,1,4 44 49 25 28 17,11 19 21 36 41 42,,0
frequency_baseline,8338,2012,70,2,4 44 49 25 21 28,19 25 28 29 34 44,25 28 44,3
frequency_baseline,8339,2012,71,1,4 44 49 25 28 21,3 9 11 24 30 37,,0
frequency_baseline,8340,2012,71,2,4 44 49 25 28 21,2 12 14 23 24 48,,0
frequency_baseline,8341,2012,72,1,4 44 49 25 28 21,5 18 32 35 43 49,49,1
frequency_baseline,8342,2012,72,2,4 44 49 25 28 21,11 26 32 33 39 47,,0
frequency_baseline,8343,2012,73,1,4 44 49 25 28 21,10 12 31 41 42 43,,0
frequency_baseline,8344,2012,73,2,4 44 49 25 28 21,7 21 24 29 34 49,21 49,2
