group,n1,n2,n3,count,recent_count,last_seen_index,gap,frequency_score,recency_score,overdue_score,group_score
8-20-40,8,20,40,8,1,9928,130,0.32,0.25,0.012925,0.399061
13-22-27,13,22,27,8,1,9927,131,0.32,0.25,0.013024,0.399046
4-26-42,4,26,42,8,1,9926,132,0.32,0.25,0.013124,0.399031
4-27-42,4,27,42,8,1,9926,132,0.32,0.25,0.013124,0.399031
15-16-40,15,16,40,13,0,7578,2480,0.52,0.0,0.24657,0.399015
7-13-22,7,13,22,8,1,9924,134,0.32,0.25,0.013323,0.399002
7-37-39,7,37,39,8,1,9924,134,0.32,0.25,0.013323,0.399002
4-19-36,4,19,36,12,0,9052,1006,0.48,0.0,0.10002,0.398997
15-21-22,15,21,22,12,0,9052,1006,0.48,0.0,0.10002,0.398997
6-24-37,6,24,37,12,0,9051,1007,0.48,0.0,0.100119,0.398982
8-11-15,8,11,15,8,1,9922,136,0.32,0.25,0.013522,0.398972
25-38-41,25,38,41,12,0,9050,1008,0.48,0.0,0.100219,0.398967
25-42-45,25,42,45,8,1,9921,137,0.32,0.25,0.013621,0.398957
19-45-48,19,45,48,13,0,7574,2484,0.52,0.0,0.246968,0.398955
16-33-42,16,33,42,8,1,9920,138,0.32,0.25,0.01372,0.398942
31-39-48,31,39,48,13,0,7573,2485,0.52,0.0,0.247067,0.39894
6-19-32,6,19,32,12,0,9045,1013,0.48,0.0,0.100716,0.398893
4-32-43,4,32,43,12,0,9045,1013,0.48,0.0,0.100716,0.398893
19-32-43,19,32,43,12,0,9045,1013,0.48,0.0,0.100716,0.398893
20-22-48,20,22,48,8,1,9916,142,0.32,0.25,0.014118,0.398882
12-13-48,12,13,48,8,1,9916,142,0.32,0.25,0.014118,0.398882
13-20-48,13,20,48,8,1,9916,142,0.32,0.25,0.014118,0.398882
10-12-17,10,12,17,12,0,9044,1014,0.48,0.0,0.100815,0.398878
8-13-17,8,13,17,12,0,9044,1014,0.48,0.0,0.100815,0.398878
13-18-35,13,18,35,8,1,9915,143,0.32,0.25,0.014218,0.398867
1-30-33,1,30,33,12,0,9043,1015,0.48,0.0,0.100915,0.398863
8-11-17,8,11,17,8,1,9914,144,0.32,0.25,0.014317,0.398852
4-46-48,4,46,48,12,0,9042,1016,0.48,0.0,0.101014,0.398848
43-46-47,43,46,47,8,1,9913,145,0.32,0.25,0.014416,0.398838
4-8-29,4,8,29,12,0,9041,1017,0.48,0.0,0.101114,0.398833
11-36-43,11,36,43,8,1,9912,146,0.32,0.25,0.014516,0.398823
3-24-29,3,24,29,12,0,9040,1018,0.48,0.0,0.101213,0.398818
