draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url,draw_no,bonus_number,source
275,,1,21,29,39,44,45,1963,12,1,raw:bst_649_1963.txt,12,,
276,,2,6,10,18,36,42,1963,13,1,raw:bst_649_1963.txt,13,,
277,,6,8,21,29,42,48,1963,14,1,raw:bst_649_1963.txt,14,,
278,,5,11,24,37,40,47,1963,15,1,raw:bst_649_1963.txt,15,,
279,,2,19,23,33,39,42,1963,16,1,raw:bst_649_1963.txt,16,,
280,,2,4,7,34,39,45,1963,17,1,raw:bst_649_1963.txt,17,,
281,,1,2,13,40,43,45,1963,18,1,raw:bst_649_1963.txt,18,,
282,,12,17,23,27,31,41,1963,19,1,raw:bst_649_1963.txt,19,,
283,,1,17,21,23,24,28,1963,20,1,raw:bst_649_1963.txt,20,,
284,,1,2,7,8,29,42,1963,21,1,raw:bst_649_1963.txt,21,,
285,,4,10,11,21,36,49,1963,22,1,raw:bst_649_1963.txt,22,,
286,,3,14,26,40,43,47,1963,23,1,raw:bst_649_1963.txt,23,,
287,,10,13,17,18,40,47,1963,24,1,raw:bst_649_1963.txt,24,,
288,,29,30,33,39,47,49,1963,25,1,raw:bst_649_1963.txt,25,,
289,,8,9,12,18,24,37,1963,26,1,raw:bst_649_1963.txt,26,,
290,,14,28,30,46,48,49,1963,27,1,raw:bst_649_1963.txt,27,,
291,,9,19,30,32,39,49,1963,28,1,raw:bst_649_1963.txt,28,,
292,,9,11,26,31,44,49,1963,29,1,raw:bst_649_1963.txt,29,,
293,,1,4,14,35,40,42,1963,30,1,raw:bst_649_1963.txt,30,,
294,,11,17,19,26,32,47,1963,31,1,raw:bst_649_1963.txt,31,,
295,,13,14,21,26,37,40,1963,32,1,raw:bst_649_1963.txt,32,,
296,,3,13,16,19,31,32,1963,33,1,raw:bst_649_1963.txt,33,,
297,,20,29,32,36,44,46,1963,34,1,raw:bst_649_1963.txt,34,,
298,,1,3,27,31,35,41,1963,35,1,raw:bst_649_1963.txt,35,,
299,,16,21,27,28,32,45,1963,36,1,raw:bst_649_1963.txt,36,,
300,,1,2,17,24,41,49,1963,37,1,raw:bst_649_1963.txt,37,,
301,,1,8,26,30,32,40,1963,38,1,raw:bst_649_1963.txt,38,,
302,,2,4,5,13,26,46,1963,39,1,raw:bst_649_1963.txt,39,,
303,,3,17,25,32,34,40,1963,40,1,raw:bst_649_1963.txt,40,,
304,,15,18,19,22,26,40,1963,41,1,raw:bst_649_1963.txt,41,,
305,,1,6,25,34,46,48,1963,42,1,raw:bst_649_1963.txt,42,,
306,,10,16,20,24,43,45,1963,43,1,raw:bst_649_1963.txt,43,,
307,,14,24,26,30,34,42,1963,44,1,raw:bst_649_1963.txt,44,,
308,,5,17,20,21,40,46,1963,45,1,raw:bst_649_1963.txt,45,,
309,,25,28,31,32,37,41,1963,46,1,raw:bst_649_1963.txt,46,,
310,,30,40,44,45,46,49,1963,47,1,raw:bst_649_1963.txt,47,,
311,,4,18,21,32,37,44,1963,48,1,raw:bst_649_1963.txt,48,,
312,,1,8,21,22,38,49,1963,49,1,raw:bst_649_1963.txt,49,,
313,,2,5,11,12,16,44,1963,50,1,raw:bst_649_1963.txt,50,,
314,,11,13,20,35,37,46,1963,51,1,raw:bst_649_1963.txt,51,,
315,,11,17,23,38,40,42,1963,52,1,raw:bst_649_1963.txt,52,,
316,,5,10,13,14,29,49,1963,601,1,raw:bst_649_1963.txt,601,,
317,,3,11,21,33,37,41,1963,602,1,raw:bst_649_1963.txt,602,,
318,,2,3,18,32,37,49,1964,0,1,raw:bst_649_1964.txt,0,,
319,,6,32,35,36,38,48,1964,1,1,raw:bst_649_1964.txt,1,,
320,,3,4,11,23,28,29,1964,2,1,raw:bst_649_1964.txt,2,,
321,,9,16,33,35,36,41,1964,3,1,raw:bst_649_1964.txt,3,,
322,,2,5,34,43,44,47,1964,4,1,raw:bst_649_1964.txt,4,,
323,,1,5,13,15,22,28,1964,5,1,raw:bst_649_1964.txt,5,,
324,,13,15,26,28,41,46,1964,6,1,raw:bst_649_1964.txt,6,,
